"run","InsectId","Count","tick"
1,"spec",20,0.0
1,"gen",20,0.0
1,"spec",10,1.0
1,"gen",15,1.0
1,"spec",47,2.0
1,"gen",43,2.0
1,"spec",58,3.0
1,"gen",59,3.0
1,"spec",146,4.0
1,"gen",96,4.0
1,"spec",235,5.0
1,"gen",141,5.0
1,"spec",458,6.0
1,"gen",199,6.0
1,"spec",827,7.0
1,"gen",280,7.0
1,"spec",1433,8.0
1,"gen",404,8.0
1,"spec",2210,9.0
1,"gen",535,9.0
1,"spec",2714,10.0
1,"gen",655,10.0
1,"spec",2748,11.0
1,"gen",792,11.0
1,"spec",2682,12.0
1,"gen",914,12.0
1,"spec",2860,13.0
1,"gen",1039,13.0
1,"spec",2934,14.0
1,"gen",1186,14.0
1,"spec",2850,15.0
1,"gen",1352,15.0
1,"spec",2783,16.0
1,"gen",1480,16.0
1,"spec",2887,17.0
1,"gen",1716,17.0
1,"spec",2988,18.0
1,"gen",1936,18.0
1,"spec",2736,19.0
1,"gen",2118,19.0
1,"spec",2653,20.0
1,"gen",2317,20.0
1,"spec",2737,21.0
1,"gen",2483,21.0
1,"spec",2676,22.0
1,"gen",2753,22.0
1,"spec",2603,23.0
1,"gen",2958,23.0
1,"spec",2537,24.0
1,"gen",3087,24.0
1,"spec",2516,25.0
1,"gen",3295,25.0
1,"spec",2506,26.0
1,"gen",3555,26.0
1,"spec",2397,27.0
1,"gen",3671,27.0
1,"spec",2323,28.0
1,"gen",3711,28.0
1,"spec",2283,29.0
1,"gen",3944,29.0
1,"spec",2319,30.0
1,"gen",4047,30.0
1,"spec",2177,31.0
1,"gen",3956,31.0
1,"spec",2111,32.0
1,"gen",3979,32.0
1,"spec",2229,33.0
1,"gen",4085,33.0
1,"spec",2259,34.0
1,"gen",4160,34.0
1,"spec",2196,35.0
1,"gen",4037,35.0
1,"spec",2117,36.0
1,"gen",4109,36.0
1,"spec",2211,37.0
1,"gen",4205,37.0
1,"spec",2177,38.0
1,"gen",4083,38.0
1,"spec",2085,39.0
1,"gen",4105,39.0
1,"spec",2182,40.0
1,"gen",4267,40.0
1,"spec",2150,41.0
1,"gen",4274,41.0
1,"spec",2031,42.0
1,"gen",4098,42.0
1,"spec",2010,43.0
1,"gen",4123,43.0
1,"spec",2093,44.0
1,"gen",4222,44.0
1,"spec",2106,45.0
1,"gen",4217,45.0
1,"spec",2105,46.0
1,"gen",4180,46.0
1,"spec",2040,47.0
1,"gen",4164,47.0
1,"spec",2038,48.0
1,"gen",4177,48.0
1,"spec",2137,49.0
1,"gen",4156,49.0
1,"spec",2078,50.0
1,"gen",4134,50.0
1,"spec",2053,51.0
1,"gen",4179,51.0
1,"spec",2195,52.0
1,"gen",4176,52.0
1,"spec",2113,53.0
1,"gen",4128,53.0
1,"spec",2026,54.0
1,"gen",4221,54.0
1,"spec",2056,55.0
1,"gen",4205,55.0
1,"spec",2035,56.0
1,"gen",4164,56.0
1,"spec",1948,57.0
1,"gen",4247,57.0
1,"spec",1954,58.0
1,"gen",4196,58.0
1,"spec",2007,59.0
1,"gen",4126,59.0
1,"spec",2018,60.0
1,"gen",4206,60.0
1,"spec",2071,61.0
1,"gen",4212,61.0
1,"spec",2050,62.0
1,"gen",4235,62.0
1,"spec",1931,63.0
1,"gen",4228,63.0
1,"spec",2003,64.0
1,"gen",4158,64.0
1,"spec",2120,65.0
1,"gen",4274,65.0
1,"spec",2033,66.0
1,"gen",4192,66.0
1,"spec",1985,67.0
1,"gen",4107,67.0
1,"spec",2023,68.0
1,"gen",4169,68.0
1,"spec",2041,69.0
1,"gen",4187,69.0
1,"spec",2008,70.0
1,"gen",4236,70.0
1,"spec",2026,71.0
1,"gen",4153,71.0
1,"spec",2061,72.0
1,"gen",4185,72.0
1,"spec",1969,73.0
1,"gen",4156,73.0
1,"spec",1988,74.0
1,"gen",4093,74.0
1,"spec",2088,75.0
1,"gen",4170,75.0
1,"spec",2047,76.0
1,"gen",4196,76.0
1,"spec",2007,77.0
1,"gen",4150,77.0
1,"spec",2136,78.0
1,"gen",4107,78.0
1,"spec",2073,79.0
1,"gen",4117,79.0
1,"spec",1994,80.0
1,"gen",4112,80.0
1,"spec",2076,81.0
1,"gen",4078,81.0
1,"spec",2099,82.0
1,"gen",4158,82.0
1,"spec",2014,83.0
1,"gen",4051,83.0
1,"spec",2027,84.0
1,"gen",4038,84.0
1,"spec",2048,85.0
1,"gen",4087,85.0
1,"spec",2006,86.0
1,"gen",4048,86.0
1,"spec",1997,87.0
1,"gen",4096,87.0
1,"spec",2042,88.0
1,"gen",4068,88.0
1,"spec",1898,89.0
1,"gen",4050,89.0
1,"spec",1938,90.0
1,"gen",4115,90.0
1,"spec",2003,91.0
1,"gen",4040,91.0
1,"spec",1985,92.0
1,"gen",3981,92.0
1,"spec",1938,93.0
1,"gen",4044,93.0
1,"spec",1993,94.0
1,"gen",3966,94.0
1,"spec",2004,95.0
1,"gen",3976,95.0
1,"spec",2039,96.0
1,"gen",3990,96.0
1,"spec",2069,97.0
1,"gen",3985,97.0
1,"spec",1949,98.0
1,"gen",4057,98.0
1,"spec",2079,99.0
1,"gen",3963,99.0
1,"spec",2078,100.0
1,"gen",3934,100.0
1,"spec",1868,101.0
1,"gen",3943,101.0
1,"spec",1909,102.0
1,"gen",3954,102.0
1,"spec",2005,103.0
1,"gen",3918,103.0
1,"spec",1984,104.0
1,"gen",3900,104.0
1,"spec",1945,105.0
1,"gen",3863,105.0
1,"spec",1995,106.0
1,"gen",3900,106.0
1,"spec",1920,107.0
1,"gen",3894,107.0
1,"spec",1831,108.0
1,"gen",3830,108.0
1,"spec",1902,109.0
1,"gen",3898,109.0
1,"spec",1981,110.0
1,"gen",3924,110.0
1,"spec",1960,111.0
1,"gen",3844,111.0
1,"spec",1933,112.0
1,"gen",3834,112.0
1,"spec",2008,113.0
1,"gen",3858,113.0
1,"spec",1922,114.0
1,"gen",3805,114.0
1,"spec",1902,115.0
1,"gen",3787,115.0
1,"spec",2026,116.0
1,"gen",3780,116.0
1,"spec",1955,117.0
1,"gen",3742,117.0
1,"spec",1886,118.0
1,"gen",3672,118.0
1,"spec",1985,119.0
1,"gen",3686,119.0
1,"spec",2005,120.0
1,"gen",3692,120.0
1,"spec",1968,121.0
1,"gen",3618,121.0
1,"spec",1937,122.0
1,"gen",3585,122.0
1,"spec",1964,123.0
1,"gen",3566,123.0
1,"spec",2011,124.0
1,"gen",3606,124.0
1,"spec",2024,125.0
1,"gen",3593,125.0
1,"spec",1990,126.0
1,"gen",3488,126.0
1,"spec",1948,127.0
1,"gen",3570,127.0
1,"spec",2030,128.0
1,"gen",3554,128.0
1,"spec",1984,129.0
1,"gen",3550,129.0
1,"spec",1938,130.0
1,"gen",3566,130.0
1,"spec",1941,131.0
1,"gen",3481,131.0
1,"spec",2010,132.0
1,"gen",3506,132.0
1,"spec",2075,133.0
1,"gen",3513,133.0
1,"spec",1971,134.0
1,"gen",3535,134.0
1,"spec",1927,135.0
1,"gen",3557,135.0
1,"spec",1954,136.0
1,"gen",3512,136.0
1,"spec",2020,137.0
1,"gen",3512,137.0
1,"spec",2009,138.0
1,"gen",3527,138.0
1,"spec",1912,139.0
