"run","InsectId","Count","tick"
1,"gen",20,0.0
1,"spec",20,0.0
1,"gen",9,1.0
1,"spec",7,1.0
1,"gen",38,2.0
1,"spec",41,2.0
1,"gen",47,3.0
1,"spec",48,3.0
1,"gen",77,4.0
1,"spec",132,4.0
1,"gen",109,5.0
1,"spec",207,5.0
1,"gen",159,6.0
1,"spec",425,6.0
1,"gen",221,7.0
1,"spec",735,7.0
1,"gen",308,8.0
1,"spec",1363,8.0
1,"gen",416,9.0
1,"spec",2125,9.0
1,"gen",493,10.0
1,"spec",2616,10.0
1,"gen",570,11.0
1,"spec",2865,11.0
1,"gen",662,12.0
1,"spec",2852,12.0
1,"gen",742,13.0
1,"spec",2922,13.0
1,"gen",868,14.0
1,"spec",2963,14.0
1,"gen",999,15.0
1,"spec",2984,15.0
1,"gen",1232,16.0
1,"spec",2976,16.0
1,"gen",1488,17.0
1,"spec",3014,17.0
1,"gen",1700,18.0
1,"spec",2964,18.0
1,"gen",2012,19.0
1,"spec",2825,19.0
1,"gen",2290,20.0
1,"spec",2849,20.0
1,"gen",2490,21.0
1,"spec",2829,21.0
1,"gen",2669,22.0
1,"spec",2712,22.0
1,"gen",2837,23.0
1,"spec",2670,23.0
1,"gen",2947,24.0
1,"spec",2649,24.0
1,"gen",3116,25.0
1,"spec",2517,25.0
1,"gen",3301,26.0
1,"spec",2453,26.0
1,"gen",3391,27.0
1,"spec",2475,27.0
1,"gen",3453,28.0
1,"spec",2496,28.0
1,"gen",3543,29.0
1,"spec",2465,29.0
1,"gen",3647,30.0
1,"spec",2419,30.0
1,"gen",3739,31.0
1,"spec",2458,31.0
1,"gen",3780,32.0
1,"spec",2335,32.0
1,"gen",3877,33.0
1,"spec",2292,33.0
1,"gen",3983,34.0
1,"spec",2410,34.0
1,"gen",4001,35.0
1,"spec",2279,35.0
1,"gen",4022,36.0
1,"spec",2219,36.0
1,"gen",4106,37.0
1,"spec",2301,37.0
1,"gen",4110,38.0
1,"spec",2183,38.0
1,"gen",4048,39.0
1,"spec",2117,39.0
1,"gen",4113,40.0
1,"spec",2190,40.0
1,"gen",4169,41.0
1,"spec",2204,41.0
1,"gen",4111,42.0
1,"spec",2107,42.0
1,"gen",4070,43.0
1,"spec",2148,43.0
1,"gen",4178,44.0
1,"spec",2232,44.0
1,"gen",4210,45.0
1,"spec",2161,45.0
1,"gen",4157,46.0
1,"spec",2069,46.0
1,"gen",4205,47.0
1,"spec",2067,47.0
1,"gen",4208,48.0
1,"spec",2175,48.0
1,"gen",4203,49.0
1,"spec",2156,49.0
1,"gen",4239,50.0
1,"spec",2081,50.0
1,"gen",4189,51.0
1,"spec",2022,51.0
1,"gen",4162,52.0
1,"spec",2083,52.0
1,"gen",4194,53.0
1,"spec",2147,53.0
1,"gen",4160,54.0
1,"spec",2042,54.0
1,"gen",4157,55.0
1,"spec",2019,55.0
1,"gen",4140,56.0
1,"spec",2150,56.0
1,"gen",4032,57.0
