"run","InsectId","Count","tick"
1,"gen",3560,139.0
1,"spec",1908,140.0
1,"gen",3610,140.0
1,"spec",1927,141.0
1,"gen",3586,141.0
1,"spec",1920,142.0
1,"gen",3531,142.0
1,"spec",1954,143.0
1,"gen",3563,143.0
1,"spec",1930,144.0
1,"gen",3538,144.0
1,"spec",1886,145.0
1,"gen",3504,145.0
1,"spec",1938,146.0
1,"gen",3476,146.0
1,"spec",1927,147.0
1,"gen",3500,147.0
1,"spec",1831,148.0
1,"gen",3472,148.0
1,"spec",1890,149.0
1,"gen",3433,149.0
1,"spec",2049,150.0
1,"gen",3492,150.0
1,"spec",2013,151.0
1,"gen",3384,151.0
1,"spec",1888,152.0
1,"gen",3364,152.0
1,"spec",1940,153.0
1,"gen",3353,153.0
1,"spec",2071,154.0
1,"gen",3333,154.0
1,"spec",1977,155.0
1,"gen",3351,155.0
1,"spec",1817,156.0
1,"gen",3348,156.0
1,"spec",1936,157.0
1,"gen",3315,157.0
1,"spec",2041,158.0
1,"gen",3334,158.0
1,"spec",1993,159.0
1,"gen",3307,159.0
1,"spec",1919,160.0
1,"gen",3234,160.0
1,"spec",1853,161.0
1,"gen",3284,161.0
1,"spec",1935,162.0
1,"gen",3295,162.0
1,"spec",1994,163.0
1,"gen",3268,163.0
1,"spec",1928,164.0
1,"gen",3269,164.0
1,"spec",1886,165.0
1,"gen",3224,165.0
1,"spec",1834,166.0
1,"gen",3175,166.0
1,"spec",1888,167.0
1,"gen",3186,167.0
1,"spec",1893,168.0
1,"gen",3229,168.0
1,"spec",1894,169.0
1,"gen",3186,169.0
1,"spec",1847,170.0
1,"gen",3165,170.0
1,"spec",1822,171.0
1,"gen",3189,171.0
1,"spec",1911,172.0
1,"gen",3172,172.0
1,"spec",1980,173.0
1,"gen",3181,173.0
1,"spec",1940,174.0
1,"gen",3143,174.0
1,"spec",1820,175.0
1,"gen",3064,175.0
1,"spec",1893,176.0
1,"gen",3091,176.0
1,"spec",1943,177.0
1,"gen",3127,177.0
1,"spec",1878,178.0
1,"gen",3072,178.0
1,"spec",1906,179.0
1,"gen",3059,179.0
1,"spec",1954,180.0
1,"gen",3081,180.0
1,"spec",1886,181.0
1,"gen",3046,181.0
1,"spec",0,182.0
1,"gen",0,182.0
1,"spec",0,183.0
1,"gen",0,183.0
1,"spec",0,184.0
1,"gen",0,184.0
1,"spec",0,185.0
1,"gen",0,185.0
1,"spec",0,186.0
1,"gen",0,186.0
1,"spec",0,187.0
1,"gen",0,187.0
1,"spec",0,188.0
1,"gen",0,188.0
1,"spec",0,189.0
1,"gen",0,189.0
1,"spec",0,190.0
1,"gen",0,190.0
1,"spec",0,191.0
1,"gen",0,191.0
1,"spec",0,192.0
1,"gen",0,192.0
1,"spec",0,193.0
1,"gen",0,193.0
1,"spec",0,194.0
1,"gen",0,194.0
1,"spec",0,195.0
1,"gen",0,195.0
1,"spec",0,196.0
1,"gen",0,196.0
1,"spec",0,197.0
1,"gen",0,197.0
1,"spec",0,198.0
1,"gen",0,198.0
1,"spec",0,199.0
1,"gen",0,199.0
1,"spec",0,200.0
1,"gen",0,200.0
1,"spec",0,201.0
1,"gen",0,201.0
1,"spec",0,202.0
1,"gen",0,202.0
1,"spec",0,203.0
1,"gen",0,203.0
1,"spec",0,204.0
