"run","tick","PlantId","TotalDamge"
1,0.0,"crop",0
1,0.0,"host",0
1,1.0,"crop",0
1,1.0,"host",0
1,2.0,"crop",22
1,2.0,"host",64
1,3.0,"crop",29
1,3.0,"host",80
1,4.0,"crop",67
1,4.0,"host",245
1,5.0,"crop",90
1,5.0,"host",377
1,6.0,"crop",138
1,6.0,"host",820
1,7.0,"crop",194
1,7.0,"host",1349
1,8.0,"crop",284
1,8.0,"host",2524
1,9.0,"crop",404
1,9.0,"host",3993
1,10.0,"crop",603
1,10.0,"host",5841
1,11.0,"crop",886
1,11.0,"host",7286
1,12.0,"crop",1258
1,12.0,"host",8692
1,13.0,"crop",1684
1,13.0,"host",10542
1,14.0,"crop",2157
1,14.0,"host",12216
1,15.0,"crop",2684
1,15.0,"host",13633
1,16.0,"crop",3309
1,16.0,"host",15286
1,17.0,"crop",3951
1,17.0,"host",17117
1,18.0,"crop",4694
1,18.0,"host",18723
1,19.0,"crop",5522
1,19.0,"host",20219
1,20.0,"crop",6429
1,20.0,"host",21960
1,21.0,"crop",7336
1,21.0,"host",23621
1,22.0,"crop",8337
1,22.0,"host",25187
1,23.0,"crop",9426
1,23.0,"host",26751
1,24.0,"crop",10490
1,24.0,"host",28399
1,25.0,"crop",11656
1,25.0,"host",30066
1,26.0,"crop",12851
1,26.0,"host",31613
1,27.0,"crop",14119
1,27.0,"host",33242
1,28.0,"crop",15418
1,28.0,"host",34874
1,29.0,"crop",16802
1,29.0,"host",36412
1,30.0,"crop",18226
1,30.0,"host",37962
1,31.0,"crop",19685
1,31.0,"host",39568
1,32.0,"crop",21163
1,32.0,"host",41072
1,33.0,"crop",22675
1,33.0,"host",42616
1,34.0,"crop",24270
1,34.0,"host",44216
1,35.0,"crop",25804
1,35.0,"host",45711
1,36.0,"crop",27371
1,36.0,"host",47215
1,37.0,"crop",28940
1,37.0,"host",48821
1,38.0,"crop",30526
1,38.0,"host",50448
1,39.0,"crop",32114
1,39.0,"host",52018
1,40.0,"crop",33793
1,40.0,"host",53548
1,41.0,"crop",35453
1,41.0,"host",55063
1,42.0,"crop",37066
1,42.0,"host",56565
1,43.0,"crop",38758
1,43.0,"host",58093
1,44.0,"crop",40381
1,44.0,"host",59646
1,45.0,"crop",42040
1,45.0,"host",61202
1,46.0,"crop",43673
1,46.0,"host",62689
1,47.0,"crop",45326
1,47.0,"host",64230
1,48.0,"crop",46961
1,48.0,"host",65797
1,49.0,"crop",48597
1,49.0,"host",67315
1,50.0,"crop",50265
