"run","InsectId","Count","tick"
1,"spec",20,0.0
1,"gen",20,0.0
1,"spec",10,1.0
1,"gen",9,1.0
1,"spec",47,2.0
1,"gen",39,2.0
1,"spec",59,3.0
1,"gen",49,3.0
1,"spec",142,4.0
1,"gen",82,4.0
1,"spec",230,5.0
1,"gen",115,5.0
1,"spec",457,6.0
1,"gen",166,6.0
1,"spec",790,7.0
1,"gen",242,7.0
1,"spec",1454,8.0
1,"gen",337,8.0
1,"spec",2332,9.0
1,"gen",465,9.0
1,"spec",2966,10.0
1,"gen",570,10.0
1,"spec",3142,11.0
1,"gen",689,11.0
1,"spec",2908,12.0
1,"gen",710,12.0
1,"spec",3060,13.0
1,"gen",821,13.0
1,"spec",3380,14.0
1,"gen",938,14.0
1,"spec",3192,15.0
1,"gen",1036,15.0
1,"spec",2939,16.0
1,"gen",1184,16.0
1,"spec",3213,17.0
1,"gen",1314,17.0
1,"spec",3316,18.0
1,"gen",1483,18.0
1,"spec",2958,19.0
1,"gen",1571,19.0
1,"spec",2982,20.0
1,"gen",1601,20.0
1,"spec",3234,21.0
1,"gen",1760,21.0
1,"spec",3154,22.0
1,"gen",1911,22.0
1,"spec",2857,23.0
1,"gen",2038,23.0
1,"spec",2814,24.0
1,"gen",2258,24.0
1,"spec",2882,25.0
1,"gen",2478,25.0
1,"spec",2802,26.0
1,"gen",2727,26.0
1,"spec",2699,27.0
1,"gen",2996,27.0
1,"spec",2642,28.0
1,"gen",3097,28.0
1,"spec",2611,29.0
1,"gen",3209,29.0
1,"spec",2601,30.0
1,"gen",3384,30.0
1,"spec",2547,31.0
1,"gen",3467,31.0
1,"spec",2472,32.0
1,"gen",3600,32.0
1,"spec",2437,33.0
1,"gen",3666,33.0
1,"spec",2396,34.0
1,"gen",3716,34.0
1,"spec",2374,35.0
1,"gen",3785,35.0
1,"spec",2290,36.0
1,"gen",3827,36.0
1,"spec",2244,37.0
1,"gen",3878,37.0
1,"spec",2283,38.0
1,"gen",4006,38.0
1,"spec",2231,39.0
1,"gen",3977,39.0
1,"spec",2244,40.0
1,"gen",3948,40.0
1,"spec",2246,41.0
1,"gen",4074,41.0
1,"spec",2231,42.0
1,"gen",4066,42.0
1,"spec",2228,43.0
1,"gen",4069,43.0
1,"spec",2137,44.0
1,"gen",4056,44.0
1,"spec",2175,45.0
1,"gen",4089,45.0
1,"spec",2202,46.0
1,"gen",4202,46.0
1,"spec",2152,47.0
1,"gen",4239,47.0
1,"spec",2166,48.0
1,"gen",4210,48.0
1,"spec",2215,49.0
1,"gen",4261,49.0
1,"spec",2172,50.0
1,"gen",4277,50.0
1,"spec",2098,51.0
1,"gen",4247,51.0
1,"spec",2124,52.0
1,"gen",4346,52.0
1,"spec",2104,53.0
1,"gen",4370,53.0
1,"spec",2035,54.0
1,"gen",4365,54.0
1,"spec",2089,55.0
1,"gen",4331,55.0
1,"spec",2174,56.0
1,"gen",4307,56.0
1,"spec",2102,57.0
1,"gen",4345,57.0
1,"spec",2080,58.0
1,"gen",4321,58.0
1,"spec",2168,59.0
1,"gen",4375,59.0
1,"spec",2052,60.0
1,"gen",4387,60.0
1,"spec",1996,61.0
1,"gen",4333,61.0
1,"spec",2103,62.0
1,"gen",4338,62.0
1,"spec",2168,63.0
1,"gen",4361,63.0
1,"spec",2098,64.0
1,"gen",4309,64.0
1,"spec",2050,65.0
1,"gen",4295,65.0
1,"spec",2130,66.0
1,"gen",4348,66.0
1,"spec",2069,67.0
1,"gen",4317,67.0
1,"spec",1979,68.0
1,"gen",4297,68.0
1,"spec",2108,69.0
1,"gen",4341,69.0
1,"spec",2105,70.0
1,"gen",4320,70.0
1,"spec",1997,71.0
1,"gen",4258,71.0
1,"spec",1974,72.0
1,"gen",4223,72.0
1,"spec",2058,73.0
1,"gen",4233,73.0
1,"spec",2096,74.0
1,"gen",4288,74.0
1,"spec",2049,75.0
1,"gen",4262,75.0
1,"spec",2007,76.0
1,"gen",4218,76.0
1,"spec",1984,77.0
1,"gen",4240,77.0
1,"spec",1993,78.0
1,"gen",4218,78.0
1,"spec",2099,79.0
1,"gen",4227,79.0
1,"spec",2121,80.0
1,"gen",4215,80.0
1,"spec",2028,81.0
1,"gen",4154,81.0
1,"spec",2028,82.0
1,"gen",4189,82.0
1,"spec",2080,83.0
1,"gen",4155,83.0
1,"spec",2021,84.0
1,"gen",4102,84.0
1,"spec",2060,85.0
1,"gen",4077,85.0
1,"spec",2118,86.0
1,"gen",4132,86.0
1,"spec",2088,87.0
1,"gen",4156,87.0
1,"spec",1954,88.0
1,"gen",4151,88.0
1,"spec",1992,89.0
1,"gen",4117,89.0
1,"spec",2105,90.0
1,"gen",4110,90.0
1,"spec",2073,91.0
1,"gen",4182,91.0
1,"spec",2027,92.0
1,"gen",4059,92.0
1,"spec",1998,93.0
1,"gen",3999,93.0
1,"spec",2015,94.0
1,"gen",4064,94.0
1,"spec",2051,95.0
1,"gen",4066,95.0
1,"spec",2007,96.0
1,"gen",4016,96.0
1,"spec",1991,97.0
1,"gen",4020,97.0
1,"spec",2041,98.0
1,"gen",4014,98.0
1,"spec",2030,99.0
1,"gen",3940,99.0
1,"spec",2041,100.0
1,"gen",3932,100.0
1,"spec",1982,101.0
1,"gen",3841,101.0
1,"spec",2000,102.0
1,"gen",3943,102.0
1,"spec",2068,103.0
1,"gen",3945,103.0
1,"spec",2058,104.0
1,"gen",3846,104.0
1,"spec",2020,105.0
1,"gen",3908,105.0
1,"spec",1946,106.0
1,"gen",3917,106.0
1,"spec",2008,107.0
1,"gen",3856,107.0
1,"spec",2064,108.0
1,"gen",3787,108.0
1,"spec",2017,109.0
1,"gen",3804,109.0
1,"spec",2009,110.0
1,"gen",3793,110.0
1,"spec",2015,111.0
1,"gen",3797,111.0
1,"spec",2053,112.0
1,"gen",3808,112.0
1,"spec",2026,113.0
1,"gen",3801,113.0
1,"spec",1974,114.0
1,"gen",3780,114.0
1,"spec",2006,115.0
1,"gen",3796,115.0
1,"spec",2028,116.0
1,"gen",3799,116.0
1,"spec",2003,117.0
1,"gen",3712,117.0
1,"spec",2042,118.0
1,"gen",3734,118.0
1,"spec",2085,119.0
1,"gen",3747,119.0
1,"spec",1989,120.0
1,"gen",3643,120.0
1,"spec",1979,121.0
1,"gen",3663,121.0
1,"spec",2063,122.0
1,"gen",3693,122.0
1,"spec",2006,123.0
1,"gen",3697,123.0
1,"spec",2001,124.0
1,"gen",3654,124.0
1,"spec",2035,125.0
1,"gen",3593,125.0
1,"spec",1948,126.0
1,"gen",3629,126.0
1,"spec",1966,127.0
1,"gen",3632,127.0
1,"spec",1986,128.0
1,"gen",3635,128.0
1,"spec",1974,129.0
1,"gen",3696,129.0
1,"spec",1961,130.0
1,"gen",3658,130.0
1,"spec",1986,131.0
1,"gen",3540,131.0
1,"spec",1973,132.0
1,"gen",3512,132.0
1,"spec",1998,133.0
1,"gen",3545,133.0
1,"spec",2042,134.0
1,"gen",3557,134.0
1,"spec",2043,135.0
1,"gen",3576,135.0
1,"spec",1991,136.0
1,"gen",3527,136.0
1,"spec",1994,137.0
1,"gen",3507,137.0
1,"spec",1992,138.0
1,"gen",3534,138.0
1,"spec",2043,139.0
