"run","InsectId","Count","tick"
1,"spec",20,0.0
1,"gen",20,0.0
1,"spec",7,1.0
1,"gen",11,1.0
1,"spec",50,2.0
1,"gen",38,2.0
1,"spec",53,3.0
1,"gen",51,3.0
1,"spec",147,4.0
1,"gen",82,4.0
1,"spec",236,5.0
1,"gen",121,5.0
1,"spec",480,6.0
1,"gen",170,6.0
1,"spec",824,7.0
1,"gen",245,7.0
1,"spec",1506,8.0
1,"gen",345,8.0
1,"spec",2383,9.0
1,"gen",478,9.0
1,"spec",3039,10.0
1,"gen",610,10.0
1,"spec",3067,11.0
1,"gen",740,11.0
1,"spec",2727,12.0
1,"gen",833,12.0
1,"spec",3106,13.0
1,"gen",980,13.0
1,"spec",3337,14.0
1,"gen",1113,14.0
1,"spec",2935,15.0
1,"gen",1202,15.0
1,"spec",2913,16.0
1,"gen",1349,16.0
1,"spec",3268,17.0
1,"gen",1529,17.0
1,"spec",3205,18.0
1,"gen",1668,18.0
1,"spec",2915,19.0
1,"gen",1787,19.0
1,"spec",3036,20.0
1,"gen",1962,20.0
1,"spec",3111,21.0
1,"gen",2135,21.0
1,"spec",2935,22.0
1,"gen",2255,22.0
1,"spec",2808,23.0
1,"gen",2428,23.0
1,"spec",2855,24.0
1,"gen",2522,24.0
1,"spec",2903,25.0
1,"gen",2670,25.0
1,"spec",2770,26.0
1,"gen",2835,26.0
1,"spec",2733,27.0
1,"gen",2923,27.0
1,"spec",2767,28.0
1,"gen",3090,28.0
1,"spec",2630,29.0
1,"gen",3236,29.0
1,"spec",2542,30.0
1,"gen",3363,30.0
1,"spec",2540,31.0
1,"gen",3506,31.0
1,"spec",2463,32.0
1,"gen",3594,32.0
1,"spec",2418,33.0
1,"gen",3619,33.0
1,"spec",2488,34.0
1,"gen",3768,34.0
1,"spec",2417,35.0
1,"gen",3821,35.0
1,"spec",2306,36.0
1,"gen",3826,36.0
1,"spec",2305,37.0
1,"gen",3942,37.0
1,"spec",2347,38.0
1,"gen",4044,38.0
1,"spec",2366,39.0
1,"gen",4034,39.0
1,"spec",2255,40.0
1,"gen",4110,40.0
1,"spec",2217,41.0
1,"gen",4171,41.0
1,"spec",2207,42.0
1,"gen",4083,42.0
1,"spec",2193,43.0
1,"gen",4140,43.0
1,"spec",2222,44.0
1,"gen",4191,44.0
1,"spec",2210,45.0
1,"gen",4201,45.0
1,"spec",2147,46.0
1,"gen",4200,46.0
1,"spec",2123,47.0
1,"gen",4174,47.0
1,"spec",2185,48.0
1,"gen",4193,48.0
1,"spec",2171,49.0
1,"gen",4167,49.0
1,"spec",2150,50.0
1,"gen",4162,50.0
1,"spec",2116,51.0
1,"gen",4193,51.0
1,"spec",2193,52.0
1,"gen",4071,52.0
1,"spec",2187,53.0
1,"gen",4040,53.0
1,"spec",2236,54.0
1,"gen",4103,54.0
1,"spec",2180,55.0
1,"gen",4078,55.0
1,"spec",2122,56.0
1,"gen",4115,56.0
1,"spec",2149,57.0
1,"gen",4156,57.0
1,"spec",2155,58.0
1,"gen",4113,58.0
1,"spec",2158,59.0
1,"gen",4009,59.0
1,"spec",2134,60.0
1,"gen",4026,60.0
1,"spec",2204,61.0
1,"gen",4067,61.0
1,"spec",2248,62.0
1,"gen",4081,62.0
1,"spec",2186,63.0
1,"gen",4020,63.0
1,"spec",2141,64.0
1,"gen",4015,64.0
1,"spec",2157,65.0
1,"gen",3974,65.0
1,"spec",2198,66.0
1,"gen",3962,66.0
1,"spec",2195,67.0
1,"gen",3993,67.0
1,"spec",2161,68.0
1,"gen",3973,68.0
1,"spec",2155,69.0
1,"gen",3983,69.0
1,"spec",2154,70.0
1,"gen",3963,70.0
1,"spec",2235,71.0
1,"gen",3945,71.0
1,"spec",2221,72.0
1,"gen",3868,72.0
1,"spec",2127,73.0
1,"gen",3899,73.0
1,"spec",2141,74.0
1,"gen",3961,74.0
1,"spec",2190,75.0
1,"gen",3949,75.0
1,"spec",2131,76.0
1,"gen",3873,76.0
1,"spec",2122,77.0
1,"gen",3912,77.0
1,"spec",2149,78.0
1,"gen",3931,78.0
1,"spec",2194,79.0
1,"gen",3849,79.0
1,"spec",2126,80.0
1,"gen",3807,80.0
1,"spec",2117,81.0
1,"gen",3823,81.0
1,"spec",2189,82.0
1,"gen",3843,82.0
1,"spec",2205,83.0
1,"gen",3854,83.0
1,"spec",2150,84.0
1,"gen",3868,84.0
1,"spec",2150,85.0
1,"gen",3820,85.0
1,"spec",2230,86.0
1,"gen",3772,86.0
1,"spec",2169,87.0
1,"gen",3821,87.0
1,"spec",2146,88.0
1,"gen",3752,88.0
1,"spec",2180,89.0
1,"gen",3724,89.0
1,"spec",2126,90.0
1,"gen",3798,90.0
1,"spec",2082,91.0
1,"gen",3759,91.0
1,"spec",2123,92.0
1,"gen",3689,92.0
1,"spec",2157,93.0
1,"gen",3725,93.0
1,"spec",2127,94.0
1,"gen",3747,94.0
1,"spec",2143,95.0
1,"gen",3712,95.0
1,"spec",2134,96.0
1,"gen",3708,96.0
1,"spec",2123,97.0
1,"gen",3691,97.0
1,"spec",2151,98.0
1,"gen",3673,98.0
1,"spec",2072,99.0
1,"gen",3692,99.0
1,"spec",2066,100.0
1,"gen",3681,100.0
1,"spec",2110,101.0
1,"gen",3617,101.0
1,"spec",2159,102.0
1,"gen",3612,102.0
1,"spec",2097,103.0
1,"gen",3593,103.0
1,"spec",2057,104.0
1,"gen",3545,104.0
1,"spec",2162,105.0
1,"gen",3618,105.0
1,"spec",2193,106.0
1,"gen",3622,106.0
1,"spec",2140,107.0
1,"gen",3521,107.0
1,"spec",2093,108.0
1,"gen",3554,108.0
1,"spec",2143,109.0
1,"gen",3654,109.0
1,"spec",2153,110.0
1,"gen",3626,110.0
1,"spec",2148,111.0
1,"gen",3565,111.0
1,"spec",2118,112.0
1,"gen",3677,112.0
1,"spec",2143,113.0
1,"gen",3668,113.0
1,"spec",2151,114.0
1,"gen",3585,114.0
1,"spec",2110,115.0
1,"gen",3557,115.0
1,"spec",2180,116.0
1,"gen",3502,116.0
1,"spec",2158,117.0
1,"gen",3540,117.0
1,"spec",2115,118.0
1,"gen",3447,118.0
1,"spec",2145,119.0
1,"gen",3428,119.0
1,"spec",2167,120.0
1,"gen",3521,120.0
1,"spec",2094,121.0
1,"gen",3386,121.0
1,"spec",2164,122.0
1,"gen",3354,122.0
1,"spec",2190,123.0
1,"gen",3470,123.0
1,"spec",2147,124.0
1,"gen",3429,124.0
1,"spec",2108,125.0
1,"gen",3397,125.0
1,"spec",2122,126.0
1,"gen",3471,126.0
1,"spec",2139,127.0
1,"gen",3423,127.0
1,"spec",2100,128.0
1,"gen",3399,128.0
1,"spec",2119,129.0
1,"gen",3406,129.0
1,"spec",2079,130.0
1,"gen",3349,130.0
1,"spec",2072,131.0
1,"gen",3352,131.0
1,"spec",2170,132.0
1,"gen",3372,132.0
1,"spec",2156,133.0
1,"gen",3280,133.0
1,"spec",2103,134.0
1,"gen",3244,134.0
1,"spec",2100,135.0
1,"gen",3293,135.0
1,"spec",2130,136.0
1,"gen",3350,136.0
1,"spec",2166,137.0
1,"gen",3312,137.0
1,"spec",2123,138.0
1,"gen",3311,138.0
1,"spec",2096,139.0
