"run","InsectId","Count","tick"
1,"gen",20,0.0
1,"spec",20,0.0
1,"gen",13,1.0
1,"spec",7,1.0
1,"gen",41,2.0
1,"spec",49,2.0
1,"gen",58,3.0
1,"spec",59,3.0
1,"gen",94,4.0
1,"spec",157,4.0
1,"gen",133,5.0
1,"spec",227,5.0
1,"gen",194,6.0
1,"spec",475,6.0
1,"gen",276,7.0
1,"spec",824,7.0
1,"gen",389,8.0
1,"spec",1502,8.0
1,"gen",533,9.0
1,"spec",2336,9.0
1,"gen",654,10.0
1,"spec",2925,10.0
1,"gen",763,11.0
1,"spec",2968,11.0
1,"gen",862,12.0
1,"spec",2681,12.0
1,"gen",1016,13.0
1,"spec",2911,13.0
1,"gen",1191,14.0
1,"spec",3185,14.0
1,"gen",1394,15.0
1,"spec",2961,15.0
1,"gen",1644,16.0
1,"spec",2782,16.0
1,"gen",1919,17.0
1,"spec",2946,17.0
1,"gen",2207,18.0
1,"spec",2957,18.0
1,"gen",2472,19.0
1,"spec",2774,19.0
1,"gen",2702,20.0
1,"spec",2718,20.0
1,"gen",2927,21.0
1,"spec",2779,21.0
1,"gen",3069,22.0
1,"spec",2672,22.0
1,"gen",3154,23.0
1,"spec",2538,23.0
1,"gen",3340,24.0
1,"spec",2582,24.0
1,"gen",3502,25.0
1,"spec",2517,25.0
1,"gen",3516,26.0
1,"spec",2497,26.0
1,"gen",3568,27.0
1,"spec",2501,27.0
1,"gen",3659,28.0
1,"spec",2499,28.0
1,"gen",3723,29.0
1,"spec",2423,29.0
1,"gen",3792,30.0
1,"spec",2308,30.0
1,"gen",3864,31.0
1,"spec",2375,31.0
1,"gen",3915,32.0
1,"spec",2421,32.0
1,"gen",3994,33.0
1,"spec",2300,33.0
1,"gen",4047,34.0
1,"spec",2271,34.0
1,"gen",4026,35.0
1,"spec",2325,35.0
1,"gen",4026,36.0
1,"spec",2335,36.0
1,"gen",4077,37.0
1,"spec",2342,37.0
1,"gen",4112,38.0
1,"spec",2268,38.0
1,"gen",4115,39.0
1,"spec",2263,39.0
1,"gen",4067,40.0
1,"spec",2352,40.0
1,"gen",4095,41.0
1,"spec",2302,41.0
1,"gen",4115,42.0
1,"spec",2189,42.0
1,"gen",4069,43.0
1,"spec",2182,43.0
1,"gen",4136,44.0
1,"spec",2250,44.0
1,"gen",4153,45.0
1,"spec",2199,45.0
1,"gen",4067,46.0
1,"spec",2214,46.0
1,"gen",4139,47.0
1,"spec",2289,47.0
1,"gen",4162,48.0
1,"spec",2303,48.0
1,"gen",4169,49.0
1,"spec",2203,49.0
1,"gen",4130,50.0
1,"spec",2114,50.0
1,"gen",4083,51.0
1,"spec",2198,51.0
1,"gen",4172,52.0
1,"spec",2348,52.0
1,"gen",4139,53.0
1,"spec",2162,53.0
1,"gen",4087,54.0
1,"spec",2093,54.0
1,"gen",4188,55.0
1,"spec",2164,55.0
1,"gen",4202,56.0
1,"spec",2199,56.0
1,"gen",4178,57.0
