"run","tick","PlantId","TotalDamge"
1,50.0,"host",66548
1,51.0,"crop",57839
1,51.0,"host",68118
1,52.0,"crop",59529
1,52.0,"host",69719
1,53.0,"crop",61203
1,53.0,"host",71087
1,54.0,"crop",62926
1,54.0,"host",72535
1,55.0,"crop",64618
1,55.0,"host",74048
1,56.0,"crop",66285
1,56.0,"host",75577
1,57.0,"crop",67985
1,57.0,"host",77011
1,58.0,"crop",69674
1,58.0,"host",78474
1,59.0,"crop",71325
1,59.0,"host",79930
1,60.0,"crop",72951
1,60.0,"host",81417
1,61.0,"crop",74610
1,61.0,"host",82903
1,62.0,"crop",76265
1,62.0,"host",84390
1,63.0,"crop",77869
1,63.0,"host",85922
1,64.0,"crop",79512
1,64.0,"host",87465
1,65.0,"crop",81196
1,65.0,"host",88919
1,66.0,"crop",82826
1,66.0,"host",90411
1,67.0,"crop",84501
1,67.0,"host",91914
1,68.0,"crop",86139
1,68.0,"host",93343
1,69.0,"crop",87790
1,69.0,"host",94819
1,70.0,"crop",89479
1,70.0,"host",96263
1,71.0,"crop",91125
1,71.0,"host",97713
1,72.0,"crop",92782
1,72.0,"host",99104
1,73.0,"crop",94428
1,73.0,"host",100644
1,74.0,"crop",96088
1,74.0,"host",102095
1,75.0,"crop",97667
1,75.0,"host",103486
1,76.0,"crop",99308
1,76.0,"host",104949
1,77.0,"crop",100904
1,77.0,"host",106416
1,78.0,"crop",102507
1,78.0,"host",107875
1,79.0,"crop",104124
1,79.0,"host",109370
1,80.0,"crop",105703
1,80.0,"host",110788
1,81.0,"crop",107344
1,81.0,"host",112108
1,82.0,"crop",108930
1,82.0,"host",113580
1,83.0,"crop",110521
1,83.0,"host",115099
1,84.0,"crop",112123
1,84.0,"host",116477
1,85.0,"crop",113722
1,85.0,"host",117946
1,86.0,"crop",115277
1,86.0,"host",119424
1,87.0,"crop",116881
1,87.0,"host",120887
1,88.0,"crop",118466
1,88.0,"host",122340
1,89.0,"crop",120037
1,89.0,"host",123861
1,90.0,"crop",121598
1,90.0,"host",125275
1,91.0,"crop",123164
1,91.0,"host",126722
1,92.0,"crop",124729
1,92.0,"host",128215
1,93.0,"crop",126253
1,93.0,"host",129619
1,94.0,"crop",127839
1,94.0,"host",131110
1,95.0,"crop",129343
1,95.0,"host",132569
1,96.0,"crop",130836
1,96.0,"host",134011
1,97.0,"crop",132360
1,97.0,"host",135507
1,98.0,"crop",133837
1,98.0,"host",136923
1,99.0,"crop",135343
1,99.0,"host",138371
1,100.0,"crop",136784
1,100.0,"host",139765
1,101.0,"crop",138303
1,101.0,"host",141265
1,102.0,"crop",139792
1,102.0,"host",142689
1,103.0,"crop",141249
1,103.0,"host",144089
1,104.0,"crop",142713
1,104.0,"host",145560
1,105.0,"crop",144200
1,105.0,"host",147103
1,106.0,"crop",145624
1,106.0,"host",148388
1,107.0,"crop",147096
1,107.0,"host",149771
1,108.0,"crop",148558
1,108.0,"host",151264
1,109.0,"crop",149971
1,109.0,"host",152737
1,110.0,"crop",151403
1,110.0,"host",154077
1,111.0,"crop",152873
1,111.0,"host",155523
1,112.0,"crop",154262
1,112.0,"host",156941
1,113.0,"crop",155679
1,113.0,"host",158395
1,114.0,"crop",157120
1,114.0,"host",159827
1,115.0,"crop",158542
1,115.0,"host",161239
1,116.0,"crop",159918
1,116.0,"host",162712
1,117.0,"crop",161391
1,117.0,"host",164085
1,118.0,"crop",162794
1,118.0,"host",165502
1,119.0,"crop",164221
1,119.0,"host",167005
1,120.0,"crop",165574
1,120.0,"host",168475
1,121.0,"crop",167038
1,121.0,"host",169745
1,122.0,"crop",168381
1,122.0,"host",171120
1,123.0,"crop",169803
1,123.0,"host",172564
1,124.0,"crop",171171
1,124.0,"host",173998
1,125.0,"crop",172514
1,125.0,"host",175300
1,126.0,"crop",173844
1,126.0,"host",176721
1,127.0,"crop",175195
1,127.0,"host",178162
1,128.0,"crop",176531
1,128.0,"host",179543
1,129.0,"crop",177842
1,129.0,"host",180946
1,130.0,"crop",179192
1,130.0,"host",182395
1,131.0,"crop",180509
1,131.0,"host",183782
1,132.0,"crop",181863
1,132.0,"host",185146
1,133.0,"crop",183213
1,133.0,"host",186582
1,134.0,"crop",184526
1,134.0,"host",187989
1,135.0,"crop",185852
1,135.0,"host",189321
1,136.0,"crop",187185
1,136.0,"host",190716
1,137.0,"crop",188486
1,137.0,"host",192152
1,138.0,"crop",189791
1,138.0,"host",193528
1,139.0,"crop",191101
1,139.0,"host",194891
1,140.0,"crop",192386
1,140.0,"host",196364
1,141.0,"crop",193709
1,141.0,"host",197759
1,142.0,"crop",195010
1,142.0,"host",199124
1,143.0,"crop",196301
1,143.0,"host",200474
1,144.0,"crop",197573
1,144.0,"host",201943
1,145.0,"crop",198857
1,145.0,"host",203299
1,146.0,"crop",200122
1,146.0,"host",204716
1,147.0,"crop",201405
1,147.0,"host",206119
1,148.0,"crop",202722
1,148.0,"host",207522
1,149.0,"crop",204016
1,149.0,"host",208826
1,150.0,"crop",205289
1,150.0,"host",210221
1,151.0,"crop",206556
1,151.0,"host",211593
1,152.0,"crop",207814
1,152.0,"host",213022
1,153.0,"crop",209095
1,153.0,"host",214351
1,154.0,"crop",210371
1,154.0,"host",215747
1,155.0,"crop",211596
1,155.0,"host",217103
1,156.0,"crop",212868
1,156.0,"host",218526
1,157.0,"crop",214095
1,157.0,"host",219911
1,158.0,"crop",215325
1,158.0,"host",221289
1,159.0,"crop",216621
1,159.0,"host",222666
1,160.0,"crop",217826
1,160.0,"host",224036
1,161.0,"crop",219067
1,161.0,"host",225376
1,162.0,"crop",220274
1,162.0,"host",226706
1,163.0,"crop",221496
1,163.0,"host",228062
1,164.0,"crop",222649
1,164.0,"host",229474
1,165.0,"crop",223877
1,165.0,"host",230865
1,166.0,"crop",225024
1,166.0,"host",232201
1,167.0,"crop",226244
1,167.0,"host",233532
1,168.0,"crop",227397
1,168.0,"host",234925
1,169.0,"crop",228599
1,169.0,"host",236335
1,170.0,"crop",229741
1,170.0,"host",237697
1,171.0,"crop",230955
1,171.0,"host",239015
1,172.0,"crop",232109
1,172.0,"host",240383
1,173.0,"crop",233323
1,173.0,"host",241761
1,174.0,"crop",234464
1,174.0,"host",243151
1,175.0,"crop",235671
1,175.0,"host",244507
1,176.0,"crop",236815
1,176.0,"host",245843
1,177.0,"crop",237968
1,177.0,"host",247294
1,178.0,"crop",239132
1,178.0,"host",248697
1,179.0,"crop",240316
1,179.0,"host",249961
1,180.0,"crop",241476
1,180.0,"host",251354
1,181.0,"crop",242615
1,181.0,"host",252782
1,182.0,"crop",0
1,182.0,"host",0
1,183.0,"crop",0
1,183.0,"host",0
1,184.0,"crop",0
1,184.0,"host",0
1,185.0,"crop",0
1,185.0,"host",0
1,186.0,"crop",0
1,186.0,"host",0
1,187.0,"crop",0
1,187.0,"host",0
1,188.0,"crop",0
1,188.0,"host",0
1,189.0,"crop",0
1,189.0,"host",0
1,190.0,"crop",0
1,190.0,"host",0
1,191.0,"crop",0
1,191.0,"host",0
1,192.0,"crop",0
1,192.0,"host",0
1,193.0,"crop",0
1,193.0,"host",0
1,194.0,"crop",0
1,194.0,"host",0
1,195.0,"crop",0
1,195.0,"host",0
1,196.0,"crop",0
1,196.0,"host",0
1,197.0,"crop",0
1,197.0,"host",0
1,198.0,"crop",0
1,198.0,"host",0
1,199.0,"crop",0
1,199.0,"host",0
1,200.0,"crop",0
1,200.0,"host",0
1,201.0,"crop",0
1,201.0,"host",0
1,202.0,"crop",0
1,202.0,"host",0
1,203.0,"crop",0
1,203.0,"host",0
1,204.0,"crop",0
1,204.0,"host",0
1,205.0,"crop",0
1,205.0,"host",0
1,206.0,"crop",0
1,206.0,"host",0
1,207.0,"crop",0
1,207.0,"host",0
1,208.0,"crop",0
1,208.0,"host",0
1,209.0,"crop",0
1,209.0,"host",0
1,210.0,"crop",0
1,210.0,"host",0
1,211.0,"crop",0
1,211.0,"host",0
1,212.0,"crop",0
1,212.0,"host",0
1,213.0,"crop",0
1,213.0,"host",0
1,214.0,"crop",0
1,214.0,"host",0
1,215.0,"crop",0
1,215.0,"host",0
1,216.0,"crop",0
1,216.0,"host",0
1,217.0,"crop",0
1,217.0,"host",0
1,218.0,"crop",0
1,218.0,"host",0
1,219.0,"crop",0
1,219.0,"host",0
1,220.0,"crop",0
1,220.0,"host",0
1,221.0,"crop",0
1,221.0,"host",0
1,222.0,"crop",0
1,222.0,"host",0
1,223.0,"crop",0
1,223.0,"host",0
1,224.0,"crop",0
1,224.0,"host",0
1,225.0,"crop",0
1,225.0,"host",0
1,226.0,"crop",0
1,226.0,"host",0
1,227.0,"crop",0
1,227.0,"host",0
1,228.0,"crop",0
1,228.0,"host",0
1,229.0,"crop",0
1,229.0,"host",0
1,230.0,"crop",0
1,230.0,"host",0
1,231.0,"crop",0
1,231.0,"host",0
1,232.0,"crop",0
1,232.0,"host",0
1,233.0,"crop",0
1,233.0,"host",0
1,234.0,"crop",0
1,234.0,"host",0
1,235.0,"crop",0
1,235.0,"host",0
1,236.0,"crop",0
1,236.0,"host",0
1,237.0,"crop",0
1,237.0,"host",0
1,238.0,"crop",0
1,238.0,"host",0
1,239.0,"crop",0
1,239.0,"host",0
1,240.0,"crop",0
1,240.0,"host",0
1,241.0,"crop",0
1,241.0,"host",0
1,242.0,"crop",0
1,242.0,"host",0
1,243.0,"crop",0
1,243.0,"host",0
1,244.0,"crop",0
1,244.0,"host",0
1,245.0,"crop",0
1,245.0,"host",0
1,246.0,"crop",0
1,246.0,"host",0
1,247.0,"crop",0
1,247.0,"host",0
1,248.0,"crop",0
1,248.0,"host",0
1,249.0,"crop",0
1,249.0,"host",0
1,250.0,"crop",0
1,250.0,"host",0
1,251.0,"crop",0
1,251.0,"host",0
1,252.0,"crop",0
1,252.0,"host",0
1,253.0,"crop",0
1,253.0,"host",0
1,254.0,"crop",0
1,254.0,"host",0
1,255.0,"crop",0
1,255.0,"host",0
1,256.0,"crop",0
1,256.0,"host",0
1,257.0,"crop",0
1,257.0,"host",0
1,258.0,"crop",0
1,258.0,"host",0
1,259.0,"crop",0
1,259.0,"host",0
1,260.0,"crop",0
1,260.0,"host",0
1,261.0,"crop",0
1,261.0,"host",0
1,262.0,"crop",0
1,262.0,"host",0
1,263.0,"crop",0
1,263.0,"host",0
1,264.0,"crop",0
1,264.0,"host",0
1,265.0,"crop",0
1,265.0,"host",0
1,266.0,"crop",0
1,266.0,"host",0
1,267.0,"crop",0
1,267.0,"host",0
1,268.0,"crop",0
1,268.0,"host",0
1,269.0,"crop",0
1,269.0,"host",0
1,270.0,"crop",0
1,270.0,"host",0
1,271.0,"crop",0
1,271.0,"host",0
1,272.0,"crop",0
1,272.0,"host",0
1,273.0,"crop",0
1,273.0,"host",0
1,274.0,"crop",0
1,274.0,"host",0
1,275.0,"crop",0
1,275.0,"host",0
1,276.0,"crop",0
1,276.0,"host",0
1,277.0,"crop",0
1,277.0,"host",0
1,278.0,"crop",0
1,278.0,"host",0
1,279.0,"crop",0
1,279.0,"host",0
1,280.0,"crop",0
1,280.0,"host",0
1,281.0,"crop",0
1,281.0,"host",0
